l	2-12-2	202-1	2120	2221	2-23-3	2-13-2	203-1	2130	2231	2-24-3	2-14-2	204-1	2140	2241	3-12-2	302-1	3120	3221	3322	3-23-3	3-13-2	303-1	3130	3231	3332	3-34-4	3-24-3	3-14-2	304-1	3140	3241	3342	4-12-2	402-1	4120	4221	4322	4-23-3	4-13-2	403-1	4130	4231	4332	4433	4-34-4	4-24-3	4-14-2	404-1	4140	4241	4342	4443
2	-0.3145331630812656	-0.20029390404206102	0.09249909132275805	0.44669384510646254	0.3581345054968615	0.10630969171687427	-0.17712268139207543	-0.4310219661321147	-0.5430786545294687	0.11279905943381001	0.21101735743174876	0.29238326875445275	0.33362654279170323	0.2984001668222994	0.21017364246318282	0.3436354852248839	0.37064285555914633	0.158410913519261	-0.5717695589543401	0.09629058991355584	0.024842592166413418	-0.05995176741925478	-0.10353336847610534	-0.048759242550982414	0.16562906419261916	-0.38650561226399505	-0.1578887849205289	0.05830322361017086	0.24099680118823313	0.3614430085546393	0.3791591155216308	0.23929534580940498	-4.8835359151672135e-06	-0.040045914844001676	-0.131582536380965	-0.28697527952517826	-0.49174872460469604	-0.18880830749709268	-0.2917100041605498	-0.3376341471186647	-0.3005060351391181	-0.14697628531212967	0.14905281646113316	0.44564151301440447	0.0048326710541899565	0.06114617812305782	0.10965212312303502	0.1255961142456735	0.08825160275776864	-0.018873273488687354	-0.19292637199926513	-0.3046174613652717
3	0.3648257638356511	0.1441143468233359	-0.1729890360144482	-0.3295364590507667	-0.4385440212070345	-0.009920162370931003	0.31590464061898516	0.41404203208241996	0.2390369661169484	-0.2321155929303263	-0.31579636504823494	-0.27347191634419066	-0.1248115471692526	0.055833109039123974	-0.33342067657256785	-0.4249346588036642	-0.27734146676401494	0.0875522934744743	0.38008154457391835	-0.021598436509357243	0.04653253609166795	0.030577735386460723	-0.05095597400291809	-0.09116387928917737	0.10812196373294648	0.43261840683690905	0.08584679421476554	-0.13268614778227256	-0.2398963134993437	-0.26649900801516585	-0.26350026503230706	-0.30119938377796107	0.055838877304868986	0.17477590476863597	0.30083852207262773	0.33157210416022886	0.11392394977943934	0.270828857357199	0.3309712851855484	0.29397779324892614	0.19424714994694278	0.07408901551931961	-0.038983287532159815	-0.4322098495870771	-0.12447262870274216	-0.15227597935147816	-0.1108355206148927	-0.019139389214964428	0.0832529607403205	0.13896899921536135	0.09300277847174232	0.0592157940287581
4	-0.24069871385933023	-0.02436071214777755	0.12668563222065019	0.11537650894893722	0.312979443907551	-0.10928708022579592	-0.2487270785795722	-0.1436447963720185	-0.008513037316068395	0.27332755173860696	0.21834963014248465	0.037810028270179014	-0.09781768903002865	-0.069468576642693	0.3115520532604535	0.255986267272263	0.03385475649609192	-0.12574709131757067	-0.11366235403932802	-0.09491626050185585	-0.041305714797832994	0.0903729353255096	0.11979871189196517	-0.026629015351427518	-0.11460764946922823	-0.25348211973859275	0.0017185056631427548	0.07051264197092091	0.10205814836498363	0.15441172561596866	0.18377592551202987	0.04105534637736138	-0.13812124002528114	-0.24820493823481585	-0.22733442663033646	-0.0608904958970587	0.046222622776147124	-0.19273949764902693	-0.1623196415540563	-0.12693705531588406	-0.11587368023998128	-0.06882470096526047	0.12333779045447732	0.1611247780322766	0.2097734505572071	0.11688794655701652	-0.004296640102910063	-0.08510566175270255	-0.10122979476784334	-0.07257925406594033	-0.04868191698787577	0.10993415908091132
5	0.14812002210283148	5.8155743788677665e-06	-0.060469260165601994	-0.07406795104787108	-0.20210021637900044	0.1137949458344149	0.11900088167591381	0.04780177487098351	0.04859343190689825	-0.23335952168824234	-0.07526796997809898	0.05213448078565181	0.02378723814551852	-0.04257729858313104	-0.22851639747060504	-0.11220023605480131	0.005862374746807274	0.02617201189394529	0.08410320906423316	0.11955825252274384	-0.03726542126336878	-0.11076806093227527	-0.009710428060378152	0.07131053261919909	0.006872265287838265	0.12478080024657377	0.03291164306065852	0.0002475748451242671	-0.10063049724507417	-0.1567205444398759	-0.06770676204030138	0.0073207451840038166	0.17032209216691815	0.17613105237755383	0.05736527659170621	-0.012025223747691426	0.041850366197223356	0.07277969087504095	0.07086018364951276	0.12828863448543013	0.12013666345371792	-0.016641143083684102	-0.09562913748891849	-0.07313282682312429	-0.17534043414246478	-0.028725117576344137	0.028981742504921155	0.03976034043650685	0.053037998824244814	0.05200669298449774	-0.03741555146158322	-0.005373679095665976
6	-0.09623298367064999	-2.043876345441356e-06	0.03928927091517496	0.048115771122390384	0.13281270375499754	-0.08132470195704707	-0.0630052103686134	-0.04455136309130108	-0.02571354462295854	0.1697053113627211	0.010543513149895262	-0.018233079592831845	0.01664435323343727	-0.007456050739937462	0.15431053560530134	0.059403684531815514	0.010502108744262849	-0.0244060010671146	-0.05312345979097742	-0.09532314186319076	0.06489576913953052	0.04816981601224301	-0.02038366689792208	-0.004041080690223328	-0.0225350345411696	-0.06534569655189025	-0.06931133374255091	0.023873909604542026	0.11600890699819066	0.06493702970800395	0.001874242829754321	0.04177536856083843	-0.14469575691363434	-0.08469903351679704	-0.019042003942166347	-0.032053410927323514	-0.008678901957979926	-0.004021784465085483	-0.08124339063868329	-0.1246590861093474	-0.03085161281505222	0.041862424950283535	0.010156999796772096	0.06405983792026039	0.10504336582552455	0.019727426875596255	0.010970419280672954	-0.04269169975386316	-0.07101394936835538	0.0006313239968410886	0.029542042361545017	-0.007839432254171146
7	0.06672620198125924	1.50892001041855e-08	-0.027240819090241262	-0.033363292583958586	-0.09209062185742128	0.056392532748206436	0.043685209157269415	0.030885649260449302	0.017834847767564756	-0.119625902988388	-8.267878940215519e-06	4.834914880566494e-06	4.342415955670072e-06	-6.52080949789057e-06	-0.10699885826112891	-0.041186823484300826	-0.007277725057426012	0.016916483883569408	0.036836940714227655	0.06809852720717095	-0.05274292505840779	-0.01926878639239953	-2.945921160147997e-06	0.010557664443707544	0.01361689884082138	0.041398097950757134	0.06706735506869467	-0.04887649660917276	-0.06667800641361682	-0.02056049390053324	-0.03652865064237781	-0.012615438236634349	0.10549623237409463	0.04718984118232253	0.025844484024936745	0.014913668561465076	0.007979085065391236	-0.012611869629311672	0.08829677084879302	0.0677154911033613	0.0017002775444110408	0.006942455941311019	-0.02729340744308679	-0.04032544032866729	-0.0591091784009653	-0.04476338680041871	0.002764658865819715	0.06663730147069148	0.019005466150606526	-0.023720531430438372	0.01874008819479073	-0.01044468980903247
8	-0.048526522237226304	-1.574844581578011e-08	0.01981080492777957	0.024262966535082635	0.06697296444963939	-0.041012401774559705	-0.03176799722681646	-0.022463335870168608	-0.01296881593197777	0.08699998485202606	1.691327759108543e-06	-3.1135030656781917e-06	2.7825345347354467e-06	-1.8484555387625548e-06	0.07781555557622696	0.029951168907220188	0.005294654533809871	-0.012303930399033325	-0.02678878647764325	-0.049526716042318106	0.03836179037511972	0.014011865902152938	-3.41300514595572e-06	-0.007670357210239564	-0.009906248342437663	-0.029717303031410937	-0.051465091512807266	0.043490796966565194	0.0355236420431718	0.027515333535063833	0.019445983918467014	0.011235623843325163	-0.07672597736206403	-0.034316210074595566	-0.01879112478594464	-0.010852865372771052	-0.00579900460409951	0.011227641513135786	-0.07132178873567659	-0.036689622566232497	-0.014209303101687977	0.0029076801397574267	0.01715166904144657	0.029717114364248887	0.038460189475857894	0.04939973353800819	-0.027780330210914334	-0.037438232164180664	0.00488134992111059	-0.01338863025332096	0.005066803720383209	0.0027172452073704187
9	0.03660411088097509	1.5880120004435256e-08	-0.014943498071041146	-0.01830216090168924	-0.05051847517479155	0.030936133162123555	0.02396293074486448	0.016944339854184146	0.009783165619331914	-0.06562546655144434	1.1909456222707607e-07	3.4494091247200925e-08	-9.938868787981235e-09	-5.225916217791002e-07	-0.05869717116366759	-0.022592481774012477	-0.003993823934996344	0.009280574386007736	0.02020756976084121	0.037358959509117454	-0.028938216846167285	-0.010566712776683005	6.808746439846338e-09	0.0057879932077468605	0.007471433236473903	0.022415422228265935	0.038823847263799484	-0.032810336925531515	-0.02679537549939247	-0.020748692252101953	-0.014676984172431962	-0.008471199805662962	0.05787627753095147	0.025882964078940054	0.014176643343297515	0.008184652974892688	0.004375473600584833	-0.0084717076226805	0.053803653499859244	0.02767391821060427	0.010712617280997564	-0.0021846485080396836	-0.01294279869787212	-0.022415136464486847	-0.028472786207425497	-0.040103940853651994	0.028461701029691755	0.01637627614449355	0.008187579244066897	0.0025802090297293344	-0.0009727300959302776	-0.002589620509905221
10	-0.028421224096211735	-1.3717253466701144e-08	0.011602843029682524	0.014210366664764535	0.039225020265323804	-0.024020340314204056	-0.018605965053260332	-0.013156389273246362	-0.007595551418584261	0.05095485213265427	-1.4493200865234345e-07	-2.9261163678946752e-08	-2.328314075868453e-09	-4.454079304313872e-07	0.045575367161499396	0.01754188417705418	0.003100992274166153	-0.00720623556010956	-0.015689681412668875	-0.029007351170670503	0.02246910423213159	0.008204505053273711	4.647472288474993e-09	-0.004493415450124932	-0.005801690081160673	-0.017404316976381545	-0.03014544182380246	0.025477480347641652	0.020802156845826984	0.0161132177621756	0.01139324482807882	0.006578496717348958	-0.0449380239332949	-0.02009677379029542	-0.01100742835212987	-0.006355349235241161	-0.003396572013674357	0.006578397156938848	-0.04177753402416789	-0.021484398933339505	-0.00832083181793701	0.0016988688178045108	0.010047894517769936	0.017404265064315236	0.02210666446853832	0.03114221107438296	-0.022103914878949325	-0.012714831734002058	-0.0063507527658723745	-0.002013042921049039	0.0007611541257311426	0.002009475361030876
11	0.022592112795976955	1.2140445391323363e-08	-0.009223112116933335	-0.011296086077242971	-0.031180083943536045	0.01909384982783464	0.014789906873790818	0.010458024464438274	0.006038182171746018	-0.04050418507023297	1.6598967917016034e-07	3.0966390079046974e-08	9.005967337828984e-09	-3.675095211152573e-07	-0.03622800012076716	-0.013944068631633123	-0.0024649786295866936	0.005727945858050272	0.012472107873016799	0.02305805259762905	-0.017860809456322152	-0.006521781984574187	-9.469828247654336e-09	0.0035723852821617197	0.004611335513782201	0.013834719211203031	0.023962766916648406	-0.02025217170520376	-0.016535663960873973	-0.012808413943220591	-0.009057360419792888	-0.005228754642461716	0.03572141183267574	0.015974960511379758	0.008749820193718337	0.005051528305431318	0.002700572173558107	-0.005229248610517591	0.033209143444155265	0.017077983708570374	0.006614240115829794	-0.001349791453144199	-0.007987839943467032	-0.013834664537670585	-0.017572467858067924	-0.0247559406458412	0.017572781965855204	0.010103557001300728	0.005051723918278636	0.001596986842426067	-0.0006033482378688998	-0.0015974978096658667
