l	3-344	4-433	4-443	4-344
2	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0
4	0.0	0.0	0.0	0.0
5	0.0	0.0	0.0	0.0
6	0.0	0.0	0.0	0.0
7	0.017067659047659542	0.017067659047659542	0.04138157916240789	0.017742526111210043
8	0.01816177509109953	0.018161775091099532	0.032187602879115436	0.030726631547731094
9	0.012372787673208568	0.012372787673208577	0.01284984492718097	0.030010748835337338
10	0.007248932810437545	0.007248932810437545	0.003667647336057522	0.021443392520604242
11	0.004234479195951332	0.004234479195951332	0.0010704148378134501	0.013598251384148786
12	0.00253480562408592	0.0025348056240859207	0.00026880133618071916	0.008512022920275576
13	0.001563375797736872	0.0015633757977368732	1.7469277595695005e-05	0.0053982233484118755
14	0.0009930530189343138	0.0009930530189343149	-5.4315869565107844e-05	0.00349435243637289
15	0.0006482803263602662	0.0006482803263602664	-6.663097994391141e-05	0.0023123399055505404
16	0.0004338767947140882	0.0004338767947140874	-6.0400417254404325e-05	0.0015633937225942676
17	0.0002969918360684225	0.0002969918360684225	-4.9780958626823045e-05	0.0010785908576341728
18	0.00020746711350330118	0.0002074671135033	-3.947703427852003e-05	0.0007581641972532738
19	0.000147617200512457	0.00014761720051245753	-3.080852575311524e-05	0.0005421695084704312
20	0.00010679819160019632	0.00010679819160019632	-2.3914427144891413e-05	0.0003938742151609233
